Period,ReporterISO,PartnerISO
2013,THA,SGP
2013,THA,VNM
2013,THA,CHE
2013,THA,TUR
2013,THA,GBR
2013,THA,USA
2013,ARE,BHR
2013,ARE,ERI
2013,ARE,HKG
2013,ARE,IRN
2013,ARE,IRQ
2013,ARE,LBY
2013,ARE,IND
2013,ARE,SGP
2013,ARE,SOM
2013,TUN,FRA
2013,TUN,DEU
2013,TUN,HND
2013,TUN,ITA
2013,TUN,MEX
2013,TUN,MAR
2013,TUN,ESP
2013,TUN,CHE
2013,TUR,DEU
2013,TUR,HKG
2013,TUR,NLD
2013,TUR,PAK
2013,TUR,EGY
2013,UKR,HKG
2013,UKR,HUN
2013,GBR,AGO
2013,GBR,AUS
2013,GBR,AUT
2013,GBR,BEL
2013,GBR,BGR
2013,GBR,CAN
2013,GBR,CHN
2013,GBR,CZE
2013,GBR,DNK
2013,GBR,EST
2013,GBR,FIN
2013,GBR,FRA
2013,GBR,DEU
2013,GBR,GRC
2013,GBR,HKG
2013,GBR,HUN
2013,GBR,IDN
2013,GBR,IRL
2013,GBR,ISR
2013,GBR,ITA
2013,GBR,JPN
2013,GBR,KOR
2013,GBR,LVA
2013,GBR,MYS
2013,GBR,TWN
2013,GBR,NLD
2013,GBR,NOR
2013,GBR,PHL
2013,GBR,POL
2013,GBR,PRT
2013,GBR,ROU
2013,GBR,RUS
2013,GBR,SAU
2013,GBR,IND
2013,GBR,SGP
2013,GBR,SVK
2013,GBR,SVN
2013,GBR,ZAF
2013,GBR,ESP
2013,GBR,SWE
2013,GBR,CHE
2013,GBR,THA
2013,GBR,ARE
2013,GBR,TUN
2013,GBR,TUR
2013,GBR,MKD
2013,GBR,USA
2013,USA,AFG
2013,USA,ARG
2013,USA,AUS
2013,USA,AUT
2013,USA,BEL
2013,USA,BOL
2013,USA,BRA
2013,USA,VGB
2013,USA,BGR
2013,USA,BLR
2013,USA,CAN
2013,USA,CHL
2013,USA,CHN
2013,USA,COL
