Period,TPU,GPR,DMGSRMRCHSACD,IPTOTSAKD,IMPCOV,NEER,REER,RETSALESSA,TOTRESV,UNEMPSA_,GEPU
2016-12-01,105.83833809195629,102.18046569824219,2213389.99827483,1605925916992.6,5.12344126483,102.35661971221,103.33572977688,89.17250175145,11340173.6523253,7.30454893653,222.4516386405882
2017-01-01,166.42099757500833,105.20123291015625,2323467.82135002,1602409829995.55,4.91106013012,102.46081826794,103.50909991544,89.27448022798,11410690.1810574,7.37419809283,265.8685301890549
2017-02-01,122.70261730475538,114.20635986328125,2294415.59464737,1607249704971.42,4.98990173583,102.10621002233,103.21360674809,89.65141792931,11448908.3584399,7.32684702487,202.18270698788737
2017-03-01,90.58218398652646,96.63587951660156,2419288.7763756,1617824943384.31,4.76516654398,101.84078798717,102.82009771358,89.74696787702,11528313.9374176,7.26732486505,235.46507067030691
2017-04-01,97.09221270663214,119.45992279052734,2246752.24731329,1625038344842.98,5.16912678956,101.62551191883,102.66788100283,92.1570111444,11613747.231092,7.16405787078,181.29625404864424
2017-05-01,54.45591438583198,102.57996368408203,2718372.42342809,1630966232004.81,4.3075886307,101.33119944193,102.28955092208,92.46160714365,11709630.1451656,7.13748311158,165.98032242217204
2017-06-01,60.11549749124302,126.78901672363281,2434176.96088452,1634361276879.02,4.83631052112,100.95997210734,101.85137665815,92.63450256179,11772435.6461831,7.06715225076,169.65509417896877
2017-07-01,65.97735105859182,102.81346130371094,2526099.88661442,1635362428007.79,4.69815236657,100.63349551253,101.56930774942,97.69326123134,11868002.160499,7.0137046764,149.13398991354023
2017-08-01,54.82564457176726,138.5316162109375,2511610.32225129,1647477561354.99,4.75089623604,100.3545068961,101.25546272401,97.89539479329,11932400.026391,6.99536600944,141.11948063566962
2017-09-01,51.304181051016485,115.5344467163086,2327517.45699171,1646483266528.37,5.14552736686,100.18815614232,101.13735270363,98.51138870598,11976304.7718019,6.98302130549,157.42566802379983
2017-10-01,47.73744405768275,91.4615707397461,2539291.27157373,1652081175618.93,4.71465062888,100.58753262691,101.45709051721,97.56258288757,11971871.1904294,6.89832738124,150.6060915435894
2017-11-01,44.02949445652751,92.59601593017578,2649581.59182438,1670502181702.74,4.53976792232,100.59048295452,101.4297103636,98.84010603827,12028485.5181418,6.88711295605,155.8516642429099
